HARGA,ALAMAT,K_TIDUR,K_MANDI,L_TANAH,L_BANGUNAN,CARPORT,SERTIFIKAT,LISTRIK,LANTAI,TAHUN
230000000,Bantul,2,1,60,30,1, SHM ,1300,1,2022
659000000,Banguntapan,3,2,75,65,1, SHM ,1300,2,2022
275000000,Sedayu,2,1,70,36,1, SHM ,1300,1,
3100000000,Kasihan,4,4,317,195,2, SHM ,3500,2,2022
388000000,Sedayu,2,1,83,40,1, SHM ,1300,1,
750000000,Kasihan,3,2,112,70,2, SHM ,,1,
1450000000,Kasihan,,,,,,,,,
150000000,Sedayu,2,1,60,30,, HGB ,1300,1,
505000000,Sedayu,3,1,84,52,1, SHM ,1300,1,2020
185000000,Sedayu,2,1,60,30,1, SHM ,1300,1,
362000000,Kasihan,2,1,110,36,1, SHM ,1300,1,
366000000,Sedayu,2,1,81,36,1, SHM ,1300,1,2022
750000000,Banguntapan,3,2,84,65,1, SHM ,2200,2,
555000000,Sedayu,3,2,68,75,, SHM ,,,
338000000,Sedayu,3,1,88,45,, SHM ,1300,1,
365000000,Banguntapan,2,1,50,50,1, SHM ,1300,1,
1750000000,Kasihan,,,109,118,, SHM ,,1,
587000000,Kasihan,2,1,103,50,, SHM ,1300,1,2020
315000000,Sedayu,2,1,75,45,1, SHM ,1300,1,2022
226000000,Bantul,2,1,90,50,1, SHM ,1300,1,2022
375000000,Kasihan,2,1,106,36,, SHM ,1300,1,2020
397000000,Sedayu,2,1,72,36,, HGB ,1300,1,2021
758000000,Imogiri,3,2,89,80,, SHM ,1300,1,2020
390000000,Sedayu,2,1,80,40,, SHM ,1300,1,2021
385000000,Kasihan,2,1,71,36,, HGB ,1300,1,2020
1500000000,Sewon,,,,,,,,,
565000000,Piyungan,3,1,107,70,2, SHM ,1300,1,
542000000,Sedayu,2,1,123,40,, HGB ,1300,1,
680000000,Sewon,4,3,210,160,1,SHM,2200,2,2021
275000000,Pandak,2,1,96,45,1, SHM ,,1,
895000000,Banguntapan,2,2,96,50,1, SHM ,1300,2,2022
370000000,Kasihan,2,1,81,45,1, SHM ,1300,1,2022
399000000,Kasihan,2,1,84,45,1, SHM ,1300,1,2022
268000000,Sedayu,2,1,66,36,1, HGB ,,1,
2850000000,Pajangan,2,4,687,262,, SHM ,2200,,
485000000,Kasihan,2,1,83,44,1, SHM ,1300,2,2022
482000000,Piyungan,2,1,73,40,1, SHM ,,1,
330000000,Sedayu,2,1,70,36,1, SHM ,1300,1,
390000000,Sedayu,2,1,100,50,1, SHM ,1300,1,2022
318000000,Jetis,2,1,90,84,1, SHM ,1300,1,2007
549000000,Banguntapan,2,1,75,45,, SHM ,,,
550000000,Sewon,2,1,87,45,1, SHM ,1300,1,2022
450000000,Kasihan,2,1,107,67,, SHM ,,1,
890000000,Bantul,5,4,350,270,2,SHM,2200,3,2023
947000000,Kasihan,3,2,80,78,1, SHM ,2200,2,2022
392000000,Kasihan,2,1,110,40,1, SHM ,1300,1,2022
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,2022
350000000,Sewon,2,1,80,45,, SHM ,1300,1,
490000000,Sedayu,3,2,120,80,1,SHM,900,1,2023
760000000,Sewon,5,3,250,180,2,SHM,3500,2,2023
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,2022
570000000,Banguntapan,3,2,140,95,1,SHM,1300,1,2022
416000000,Piyungan,2,2,86,60,1, SHM ,,1,
357000000,Sedayu,2,1,87,45,, SHM ,1300,1,2016
275000000,Jetis,2,1,76,36,, SHM ,900,1,2020
805000000,Banguntapan,3,2,88,76,1, SHM ,2200,2,
805000000,Banguntapan,3,2,88,76,1, SHM ,1300,2,
798000000,Sedayu,2,1,108,37,, HGB ,1300,1,2018
785000000,Kasihan,3,2,83,70,1, SHM ,1300,2,2022
440000000,Banguntapan,2,1,75,55,, SHM ,1300,1,2010
540000000,Banguntapan,3,2,89,70,1, SHM ,1300,1,2022
210000000,Pajangan,2,1,60,30,1, SHM ,1300,1,2022
1050000000,Banguntapan,3,2,95,150,99, SHM ,2200,2,
195000000,Plered,2,1,60,30,1, SHM ,1300,1,2022
1700000000,Banguntapan,6,3,150,250,, SHM ,,,
355000000,Piyungan,2,1,75,40,1, SHM ,,1,
465000000,Pajangan,2,1,90,46,1, HGB ,1300,1,2022
3280000000,Kasihan,4,4,304,195,1, SHM ,3500,2,2022
450000000,Kasihan,2,1,83,65,, SHM ,1300,1,2020
760000000,Sedayu,3,2,80,75,1, SHM ,2200,2,2022
775000000,Banguntapan,4,3,330,230,2,SHM,2200,2,2020
750000000,Banguntapan,3,2,85,65,1, SHM ,1300,2,2022
785000000,Kasihan,3,2,83,70,1, SHM ,2200,2,2022
510000000,Banguntapan,3,2,75,50,1, SHM ,1300,1,2021
372000000,Kasihan,2,1,103,40,, SHM ,1300,1,
975000000,Kasihan,5,4,173,134,, SHM ,,1,
659000000,Banguntapan,3,2,76,65,1, SHM ,1300,2,2022
530000000,Kasihan,3,2,120,85,1,SHM,900,1,2020
595000000,Kasihan,2,1,100,100,1, SHM ,1300,1,
375000000,Sewon,2,1,81,45,1, SHM ,1300,1,2022
230000000,Bantul,2,1,60,36,1, HGB ,900,1,2022
2700000000,Kasihan,3,3,202,129,, SHM ,2200,,
680000000,Bantul,4,3,210,160,2,SHM,2200,2,2021
399000000,Sedayu,2,1,96,36,, SHM ,1300,,
195000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
750000000,Banguntapan,3,2,84,65,1, HGB ,2200,2,2022
550000000,Sewon,2,1,87,45,1, SHM ,1300,1,
807000000,Sedayu,2,1,105,50,1, SHM ,2200,1,2022
385000000,Kasihan,2,1,110,40,1, SHM ,1300,1,
2200000000,Kasihan,18,9,230,300,, SHM ,2200,2,
825000000,Sedayu,3,2,82,150,1, SHM ,,2,
1090000000,Banguntapan,3,2,109,75,1, SHM ,2200,2,
279000000,Pandak,2,1,82,45,1, SHM ,1300,1,2022
429000000,Banguntapan,2,1,73,36,1, SHM ,,1,
500000000,Plered,3,1,100,80,1, SHM ,1300,1,2021
1800000000,Banguntapan,4,2,130,200,, SHM ,2200,2,2017
839000000,Banguntapan,3,2,90,76,1, SHM ,2200,2,2022
480000000,Sewon,2,1,100,70,1,SHM,1300,1,2020
465000000,Banguntapan,2,1,81,55,, SHM ,1300,1,2019
425000000,Banguntapan,2,1,85,70,1, SHM ,1300,1,2022
270000000,Sedayu,2,1,74,36,1, SHM ,1300,1,2022
335000000,Kasihan,2,1,107,36,1, SHM ,,1,
890000000,Banguntapan,3,2,79,70,1, HGB ,1300,2,
1090000000,Banguntapan,3,2,111,75,, SHM ,1300,1,2017
350000000,Kasihan,2,1,75,45,1, SHM ,1300,1,2022
656000000,Sedayu,2,1,107,48,, SHM ,1300,1,2022
890000000,Sewon,6,6,100,80,2, SHM ,2200,2,2021
510000000,Banguntapan,3,2,110,70,1,SHM,1300,1,2019
445000000,Sedayu,3,1,109,50,, SHM ,1300,1,2021
1270000000,Banguntapan,3,2,36,61,1, SHM ,1300,1,2022
250000000,Pandak,2,1,80,40,1, SHM ,1300,1,2022
850000000,Banguntapan,4,1,103,110,1, SHM ,1300,2,2015
2700000000,Banguntapan,,,,,,,,,
843000000,Banguntapan,3,2,91,76,1, SHM ,2200,2,2022
659000000,Banguntapan,3,2,76,65,1, SHM ,1300,1,2022
839000000,Banguntapan,3,2,90,76,1, SHM ,2200,2,2022
947000000,Kasihan,3,2,80,78,1, SHM ,2200,2,2022
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,
575000000,Banguntapan,2,1,90,50,, SHM ,,,2019
3190000000,Bantul,4,4,295,195,2, SHM ,3500,2,2022
477000000,Sedayu,2,1,101,45,1, SHM ,1300,1,2022
673000000,Banguntapan,3,2,104,75,2, SHM ,,1,
3570000000,Kasihan,4,4,317,195,2, SHM ,3500,2,
490000000,Sedayu,2,1,100,70,1,SHM,900,1,2022
425000000,Kasihan,2,2,101,80,, SHM ,1300,2,2022
785000000,Kasihan,3,2,83,70,1, SHM ,1300,2,2022
225000000,Kasihan,2,1,88,36,1, SHM ,2200,1,
490000000,Sedayu,3,2,110,75,1,SHM,900,1,2023
299000000,Sedayu,2,1,72,36,, HGB ,2200,1,2022
8900000000,Sewon,3,3,1044,500,, SHM ,,2,
988000000,Sedayu,3,3,92,102,1, SHM ,2200,3,2022
335000000,Kasihan,2,1,70,36,1, SHM ,1300,1,2022
470000000,Bantul,3,2,100,50,1,SHM,1300,1,2022
200000000,Banguntapan,6,3,154,250,, SHM ,2200,2,2015
620000000,Kasihan,3,2,200,93,1, SHM ,1300,2,2020
2250000000,Sewon,3,2,700,80,, SHM ,,1,
2100000000,Sewon,17,4,304,250,2, SHM ,2200,2,2001
175000000,Pandak,2,1,60,30,1, SHM ,900,1,
850000000,Banguntapan,3,2,99,60,1, SHM ,2200,1,2020
1350000000,Kasihan,3,2,147,95,, HGB ,,1,
2500000000,Banguntapan,3,4,128,130,1, SHM ,,2,2014
3280000000,Kasihan,4,4,304,195,1, SHM ,3500,2,2022
375000000,Kasihan,2,1,82,45,1, SHM ,1300,1,2022
627000000,Banguntapan,3,2,92,45,1, SHM ,1300,1,2022
560000000,Sewon,3,2,150,100,1,SHM,1300,1,2022
510000000,Sedayu,3,2,72,48,1, SHM ,1300,1,
590000000,Sedayu,3,2,170,120,1,SHM,1300,1,2021
345000000,Sedayu,2,1,72,36,1, HGB ,1300,1,2022
450000000,Piyungan,2,1,95,40,, SHM ,,1,
800000000,Banguntapan,4,3,300,200,2,SHM,2200,2,2021
425000000,Bantul,2,1,93,45,1, SHM ,900,1,2022
958000000,Kasihan,3,2,78,80,1, SHM ,2200,2,2022
535000000,Kasihan,2,1,110,54,1, SHM ,1300,1,
450000000,Banguntapan,2,1,74,47,, SHM ,2020,,
357000000,Kasihan,2,1,80,40,1, SHM ,1300,1,
337000000,Kasihan,2,1,36,90,1, SHM ,1300,1,2022
17500000000,Kasihan,12,14,1250,900,, SHM ,6600,1,2019
375000000,Bantul,2,1,92,36,1, SHM ,1300,1,2022
385000000,Kasihan,2,1,80,45,1, SHM ,1300,1,
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,
475000000,Banguntapan,2,1,93,45,1, SHM ,1300,1,2019
185000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
375000000,Kasihan,2,1,80,45,1, SHM ,900,1,2022
575000000,Piyungan,2,1,108,55,1, SHM ,2200,1,2021
256000000,Pandak,2,1,102,36,, SHM ,900,,2018
3200000000,Sewon,7,5,243,400,, SHM ,,2,
363000000,Sedayu,2,1,80,36,1, SHM ,1300,1,2022
700000000,Banguntapan,4,2,143,120,1, SHM ,1300,1,2020
480000000,Kasihan,2,1,95,45,1, SHM ,1300,1,2022
600000000,Banguntapan,6,6,81,100,3, SHM ,2200,2,2021
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,2022
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,
699000000,Sedayu,3,2,155,90,, SHM ,1300,1,2020
1900000000,Kasihan,4,3,166,145,1, SHM ,2200,2,2021
4800000000,Banguntapan,,,,,,,,,
200000000,Sewon,4,2,490,240,, SHM ,2200,2,2005
354000000,Bantul,2,1,71,36,, SHM ,1300,1,2022
430000000,Sedayu,3,1,80,49,, SHM ,,1,
195000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
475000000,Piyungan,2,1,108,55,1, SHM ,1300,1,2022
900000000,Banguntapan,2,1,103,103,, SHM ,1300,,
750000000,Sedayu,4,3,320,220,2,SHM,2200,2,2019
2250000000,Banguntapan,4,4,130,160,1, SHM ,4400,2,2022
800000000,Sedayu,5,4,340,240,2,SHM,2200,3,2021
449000000,Kasihan,1,,93,45,, SHM ,,,
465000000,Banguntapan,3,1,50,70,1, SHM ,1300,2,
590000000,Kasihan,2,1,100,65,1,SHM,900,1,2022
2900000000,Banguntapan,,,,,,,,,
675000000,Banguntapan,3,2,83,77,, SHM ,1300,2,2020
700000000,Kasihan,2,1,95,45,1, SHM ,1300,1,2018
875000000,Bantul,3,3,177,90,2, SHM ,1300,1,2015
622000000,Sedayu,3,2,117,60,, SHM ,1300,2,
365000000,Kasihan,2,1,79,37,1, SHM ,1300,1,2022
340000000,Kasihan,2,1,101,46,, SHM ,900,1,2020
975000000,Sedayu,2,1,120,50,, SHM ,,1,
850000000,Kasihan,5,4,340,250,2,SHM,2200,3,2020
580000000,Sewon,3,2,190,130,2,SHM,1300,1,2023
1600000000,Kasihan,3,2,120,110,2, SHM ,1300,,
486000000,Sedayu,2,1,103,40,, HGB ,1300,1,
367000000,Kasihan,2,1,79,37,1, SHM ,1300,1,2022
200000000,Kasihan,3,2,170,130,5, SHM ,2200,1,2017
375000000,Pajangan,2,1,82,36,1, HGB ,1300,1,2022
350000000,Sedayu,2,1,82,46,1, SHM ,900,1,2022
600000000,Banguntapan,4,4,179,280,, HGB ,1300,3,2000
1400000000,Kasihan,3,2,110,72,, SHM ,1300,,
675000000,Banguntapan,,,,,,,,,
2200000000,Kasihan,4,3,140,227,1, SHM ,2200,2,
